Timestamp,Day of Year,Plot,Average Air Temperature (Deg C),Total Precipitation (mm),Alfalfa variety,Fall Dormancy*,Average Wind Speed (m/s),Dry yield (ton/ha),experiment_info,Plant height (cm),Total Solar Radiation (kW-hr/m2),Growth stage,Irrig. Treatment (%),Irrig. amount (in),Ave. SWD (%),Relative Humidity (%),Winterhardiness**,Leaf Area Index (LAI),location,year
1997-01-01,1.0,NE,9.071,0.0,Pioneer 5454,4.0,2.974,,BushlandLysimeters_1997,,,,100,,,61.922,2.2,,BushlandLysimeters,1997
1997-01-02,2.0,NE,13.081,0.0,Pioneer 5454,4.0,6.458,,BushlandLysimeters_1997,,,,100,,,49.781,2.2,,BushlandLysimeters,1997
1997-01-03,3.0,NE,13.787,0.0,Pioneer 5454,4.0,7.26,,BushlandLysimeters_1997,,,,100,,,55.88,2.2,,BushlandLysimeters,1997
1997-01-04,4.0,NE,7.795,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,50.708,2.2,,BushlandLysimeters,1997
1997-01-05,5.0,NE,-0.402,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,62.399,2.2,,BushlandLysimeters,1997
1997-01-06,6.0,NE,-4.14,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,61.451,2.2,,BushlandLysimeters,1997
1997-01-07,7.0,NE,-4.679,1.357,Pioneer 5454,4.0,1.962,,BushlandLysimeters_1997,,,,100,,,82.351,2.2,,BushlandLysimeters,1997
1997-01-08,8.0,NE,-4.96,4.17,Pioneer 5454,4.0,2.112,,BushlandLysimeters_1997,,,,100,,,90.059,2.2,,BushlandLysimeters,1997
1997-01-09,9.0,NE,-1.264,0.0,Pioneer 5454,4.0,5.137,,BushlandLysimeters_1997,,,,100,,,74.507,2.2,,BushlandLysimeters,1997
1997-01-10,10.0,NE,-5.993,0.0,Pioneer 5454,4.0,3.968,,BushlandLysimeters_1997,,,,100,,,74.705,2.2,,BushlandLysimeters,1997
1997-01-11,11.0,NE,-10.635,0.691,Pioneer 5454,4.0,4.303,,BushlandLysimeters_1997,,,,100,,,84.211,2.2,,BushlandLysimeters,1997
1997-01-12,12.0,NE,-16.539,5.234,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,82.365,2.2,,BushlandLysimeters,1997
1997-01-13,13.0,NE,-14.335,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,85.029,2.2,,BushlandLysimeters,1997
1997-01-14,14.0,NE,-8.342,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,90.534,2.2,,BushlandLysimeters,1997
1997-01-15,15.0,NE,-1.157,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,70.772,2.2,,BushlandLysimeters,1997
1997-01-16,16.0,NE,-6.903,0.0,Pioneer 5454,4.0,3.287,,BushlandLysimeters_1997,,,,100,,,79.254,2.2,,BushlandLysimeters,1997
1997-01-17,17.0,NE,-5.324,0.0,Pioneer 5454,4.0,2.775,,BushlandLysimeters_1997,,,,100,,,76.304,2.2,,BushlandLysimeters,1997
1997-01-18,18.0,NE,0.456,0.0,Pioneer 5454,4.0,4.002,,BushlandLysimeters_1997,,,,100,,,68.795,2.2,,BushlandLysimeters,1997
1997-01-19,19.0,NE,5.585,0.0,Pioneer 5454,4.0,2.549,,BushlandLysimeters_1997,,,,100,,,62.0,2.2,,BushlandLysimeters,1997
1997-01-20,20.0,NE,6.171,0.0,Pioneer 5454,4.0,4.733,,BushlandLysimeters_1997,,,,100,,,66.89,2.2,,BushlandLysimeters,1997
1997-01-21,21.0,NE,7.91,0.0,Pioneer 5454,4.0,7.095,,BushlandLysimeters_1997,,,,100,,,55.917,2.2,,BushlandLysimeters,1997
1997-01-22,22.0,NE,4.422,0.0,Pioneer 5454,4.0,3.392,,BushlandLysimeters_1997,,,,100,,,54.116,2.2,,BushlandLysimeters,1997
1997-01-23,23.0,NE,7.623,0.0,Pioneer 5454,4.0,7.21,,BushlandLysimeters_1997,,,,100,,,54.547,2.2,,BushlandLysimeters,1997
1997-01-24,24.0,NE,3.339,0.0,Pioneer 5454,4.0,2.835,,BushlandLysimeters_1997,,,,100,,47.13,64.746,2.2,,BushlandLysimeters,1997
1997-01-25,25.0,NE,4.761,0.0,Pioneer 5454,4.0,6.284,,BushlandLysimeters_1997,,,,100,,,62.048,2.2,,BushlandLysimeters,1997
1997-01-26,26.0,NE,11.835,0.0,Pioneer 5454,4.0,8.261,,BushlandLysimeters_1997,,,,100,,,49.298,2.2,,BushlandLysimeters,1997
1997-01-27,27.0,NE,-3.062,0.0,Pioneer 5454,4.0,7.859,,BushlandLysimeters_1997,,,,100,,,63.02,2.2,,BushlandLysimeters,1997
1997-01-28,28.0,NE,-1.444,0.0,Pioneer 5454,4.0,4.455,,BushlandLysimeters_1997,,,,100,,,38.622,2.2,,BushlandLysimeters,1997
1997-01-29,29.0,NE,2.746,0.0,Pioneer 5454,4.0,4.846,,BushlandLysimeters_1997,,,,100,,,45.727,2.2,,BushlandLysimeters,1997
1997-01-30,30.0,NE,4.459,0.0,Pioneer 5454,4.0,4.947,,BushlandLysimeters_1997,,,,100,,,57.456,2.2,,BushlandLysimeters,1997
1997-01-31,31.0,NE,9.244,0.0,Pioneer 5454,4.0,3.226,,BushlandLysimeters_1997,,,,100,,,43.986,2.2,,BushlandLysimeters,1997
1997-02-01,32.0,NE,10.528,0.0,Pioneer 5454,4.0,4.574,,BushlandLysimeters_1997,,,,100,,,41.876,2.2,,BushlandLysimeters,1997
1997-02-02,33.0,NE,6.848,0.0,Pioneer 5454,4.0,3.206,,BushlandLysimeters_1997,,,,100,,,60.803,2.2,,BushlandLysimeters,1997
1997-02-03,34.0,NE,,0.0,Pioneer 5454,4.0,,,BushlandLysimeters_1997,,,,100,,,,2.2,,BushlandLysimeters,1997
