Timestamp,Day of Year,Plot,Alfalfa variety,Plant height (cm),Total Solar Radiation (kW-hr/m2),Irrig. Treatment (%),Average Air Temperature (Deg C),Ave. SWD (%),Growth stage,Relative Humidity (%),Total Precipitation (mm),Irrig. amount (in),Leaf Area Index (LAI),Fall Dormancy*,Winterhardiness**,Average Wind Speed (m/s),Dry yield (ton/ha),experiment_info,location,year
1997-01-01,1.0,NE,Pioneer 5454,,,100,9.071,,,61.922,0.0,,,4.0,2.2,2.974,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-02,2.0,NE,Pioneer 5454,,,100,13.081,,,49.781,0.0,,,4.0,2.2,6.458,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-03,3.0,NE,Pioneer 5454,,,100,13.787,,,55.88,0.0,,,4.0,2.2,7.26,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-04,4.0,NE,Pioneer 5454,,,100,7.795,,,50.708,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-05,5.0,NE,Pioneer 5454,,,100,-0.402,,,62.399,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-06,6.0,NE,Pioneer 5454,,,100,-4.14,,,61.451,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-07,7.0,NE,Pioneer 5454,,,100,-4.679,,,82.351,1.357,,,4.0,2.2,1.962,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-08,8.0,NE,Pioneer 5454,,,100,-4.96,,,90.059,4.17,,,4.0,2.2,2.112,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-09,9.0,NE,Pioneer 5454,,,100,-1.264,,,74.507,0.0,,,4.0,2.2,5.137,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-10,10.0,NE,Pioneer 5454,,,100,-5.993,,,74.705,0.0,,,4.0,2.2,3.968,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-11,11.0,NE,Pioneer 5454,,,100,-10.635,,,84.211,0.691,,,4.0,2.2,4.303,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-12,12.0,NE,Pioneer 5454,,,100,-16.539,,,82.365,5.234,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-13,13.0,NE,Pioneer 5454,,,100,-14.335,,,85.029,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-14,14.0,NE,Pioneer 5454,,,100,-8.342,,,90.534,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-15,15.0,NE,Pioneer 5454,,,100,-1.157,,,70.772,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-16,16.0,NE,Pioneer 5454,,,100,-6.903,,,79.254,0.0,,,4.0,2.2,3.287,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-17,17.0,NE,Pioneer 5454,,,100,-5.324,,,76.304,0.0,,,4.0,2.2,2.775,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-18,18.0,NE,Pioneer 5454,,,100,0.456,,,68.795,0.0,,,4.0,2.2,4.002,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-19,19.0,NE,Pioneer 5454,,,100,5.585,,,62.0,0.0,,,4.0,2.2,2.549,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-20,20.0,NE,Pioneer 5454,,,100,6.171,,,66.89,0.0,,,4.0,2.2,4.733,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-21,21.0,NE,Pioneer 5454,,,100,7.91,,,55.917,0.0,,,4.0,2.2,7.095,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-22,22.0,NE,Pioneer 5454,,,100,4.422,,,54.116,0.0,,,4.0,2.2,3.392,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-23,23.0,NE,Pioneer 5454,,,100,7.623,,,54.547,0.0,,,4.0,2.2,7.21,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-24,24.0,NE,Pioneer 5454,,,100,3.339,47.13,,64.746,0.0,,,4.0,2.2,2.835,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-25,25.0,NE,Pioneer 5454,,,100,4.761,,,62.048,0.0,,,4.0,2.2,6.284,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-26,26.0,NE,Pioneer 5454,,,100,11.835,,,49.298,0.0,,,4.0,2.2,8.261,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-27,27.0,NE,Pioneer 5454,,,100,-3.062,,,63.02,0.0,,,4.0,2.2,7.859,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-28,28.0,NE,Pioneer 5454,,,100,-1.444,,,38.622,0.0,,,4.0,2.2,4.455,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-29,29.0,NE,Pioneer 5454,,,100,2.746,,,45.727,0.0,,,4.0,2.2,4.846,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-30,30.0,NE,Pioneer 5454,,,100,4.459,,,57.456,0.0,,,4.0,2.2,4.947,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-01-31,31.0,NE,Pioneer 5454,,,100,9.244,,,43.986,0.0,,,4.0,2.2,3.226,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-01,32.0,NE,Pioneer 5454,,,100,10.528,,,41.876,0.0,,,4.0,2.2,4.574,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-02,33.0,NE,Pioneer 5454,,,100,6.848,,,60.803,0.0,,,4.0,2.2,3.206,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-03,34.0,NE,Pioneer 5454,,,100,,,,,0.0,,,4.0,2.2,,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-04,35.0,NE,Pioneer 5454,,,100,1.877,,,48.438,0.0,,,4.0,2.2,4.077,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-05,36.0,NE,Pioneer 5454,,,100,0.118,,,71.17,0.455,,,4.0,2.2,4.834,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-06,37.0,NE,Pioneer 5454,,,100,-0.203,,,99.229,0.195,,,4.0,2.2,4.198,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-07,38.0,NE,Pioneer 5454,,,100,-2.373,,,87.268,1.658,,,4.0,2.2,4.687,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-08,39.0,NE,Pioneer 5454,,,100,-3.265,,,85.019,0.0,,,4.0,2.2,2.539,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-09,40.0,NE,Pioneer 5454,,,100,-2.859,,,88.157,0.0,,,4.0,2.2,2.989,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-10,41.0,NE,Pioneer 5454,,,100,0.479,,,68.037,0.0,,,4.0,2.2,2.876,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-11,42.0,NE,Pioneer 5454,,,100,4.894,,,68.788,0.0,,,4.0,2.2,5.33,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-12,43.0,NE,Pioneer 5454,,,100,-2.237,,,82.747,0.0,,,4.0,2.2,5.19,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-13,44.0,NE,Pioneer 5454,,,100,,,,,1.831,,,4.0,2.2,3.421,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-14,45.0,NE,Pioneer 5454,,,100,1.803,,,68.014,0.0,,,4.0,2.2,2.557,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-15,46.0,NE,Pioneer 5454,,,100,5.255,,,55.679,0.0,,,4.0,2.2,3.836,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-16,47.0,NE,Pioneer 5454,,,100,8.441,,,48.017,0.0,,,4.0,2.2,4.947,,BushlandLysimeters_1997,BushlandLysimeters,1997
1997-02-17,48.0,NE,Pioneer 5454,,,100,10.504,,,48.724,0.0,,,4.0,2.2,7.317,,BushlandLysimeters_1997,BushlandLysimeters,1997
